(beauty salon, dry cleaner) 1
(parking_entrance, parking) 0.00631911532385466
(bench, parking) 0.006003159557661927
(toilets, parking) 0.005687203791469194
(fast_food, place_of_worship) 0.005148005148005148
(fire_station, place_of_worship) 0.005148005148005148
(place_of_worship, fuel) 0.005148005148005148
(police, parking) 0.005055292259083728
(fire_station, parking) 0.005055292259083728
(telephone, restaurant) 0.005
(post_office, restaurant) 0.005
(events_venue, restaurant) 0.005
(vending_machine, restaurant) 0.005
(restaurant, fountain) 0.005
(picnic_area, restaurant) 0.005
(toilets, restaurant) 0.005
(doctors, restaurant) 0.005
(fuel, library) 0.004672897196261682
(studio, fuel) 0.004672897196261682
(cafe, fuel) 0.004672897196261682
(bus_station, fuel) 0.004672897196261682
(atm, fuel) 0.004672897196261682
(bicycle_parking, fuel) 0.004672897196261682
(fuel, telephone) 0.004672897196261682
(fuel, bar) 0.004672897196261682
(fuel, pharmacy) 0.004672897196261682
(fuel, fire_station) 0.004672897196261682
(grave_yard, fuel) 0.004672897196261682
(shelter, fuel) 0.004672897196261682
(fuel, donuts) 0.004672897196261682
(fuel, ice_cream) 0.004672897196261682
(clinic, parking) 0.0044233807266982625
(atm, parking) 0.004107424960505529
(nightclub, parking) 0.004107424960505529
(arts_centre, place_of_worship) 0.003861003861003861
(place_of_worship, community_centre) 0.003861003861003861
(place_of_worship, dentist) 0.003861003861003861
(place_of_worship, grave_yard) 0.003861003861003861
(cafe, school) 0.0038510911424903724
(parking, public_building) 0.0034755134281200632
(post_box, parking) 0.00315955766192733
(community_centre, parking) 0.00315955766192733
(university, parking) 0.00315955766192733
(bank, place_of_worship) 0.002574002574002574
(shelter, place_of_worship) 0.002574002574002574
(clinic, place_of_worship) 0.002574002574002574
(school, fuel) 0.0025673940949935813
(school, restaurant) 0.0025673940949935813
(library, school) 0.0025673940949935813
(theatre, parking) 0.002527646129541864
(bench, restaurant) 0.0025
(taxi, restaurant) 0.0025
(townhall, restaurant) 0.0025
(restaurant, drinking_water) 0.0025
(post_box, restaurant) 0.0025
(library, restaurant) 0.0025
(restaurant, marketplace) 0.0025
(courthouse, restaurant) 0.0025
(restaurant, car_wash) 0.0025
(fire_station, restaurant) 0.0025
(social_facility, parking) 0.0022116903633491313
