Duration: 58099 s 
Number of collocations: 754
(('parking_entrance', 'cafe'), 0.05194805194805195)
(('library', 'cafe'), 0.05194805194805195)
(('picnic_area', 'cafe'), 0.05194805194805195)
(('public_bookcase', 'cafe'), 0.05194805194805195)
(('cafe', 'dentist'), 0.05194805194805195)
(('dentist', 'fast_food'), 0.05161290322580645)
(('fast_food', 'clinic'), 0.05161290322580645)
(('place_of_worship', 'parking'), 0.05118483412322275)
(('doctors', 'bus_station'), 0.05)
(('library', 'restaurant'), 0.05)
(('college', 'post_box'), 0.05)
(('drinking_water', 'doctors'), 0.05)
(('atm', 'doctors'), 0.05)
(('telephone', 'doctors'), 0.05)
(('bicycle_repair_station', 'post_box'), 0.05)
(('food_court', 'post_box'), 0.05)
(('bicycle_rental', 'post_box'), 0.05)
(('post_box', 'courthouse'), 0.05)
(('post_box', 'bicycle_parking'), 0.05)
(('post_box', 'townhall'), 0.05)
(('post_box', 'yes'), 0.05)
(('library', 'bank'), 0.04918032786885246)
(('post_box', 'bank'), 0.04918032786885246)
(('theatre', 'bicycle_parking'), 0.04918032786885246)
(('bicycle_parking', 'atm'), 0.04918032786885246)
(('bank', 'theatre'), 0.04918032786885246)
(('bicycle_parking', 'arts_centre'), 0.04918032786885246)
(('bank', 'arts_centre'), 0.04918032786885246)
(('public_building', 'bank'), 0.04918032786885246)
(('bicycle_parking', 'nightclub'), 0.04918032786885246)
(('bicycle_parking', 'bus_station'), 0.04918032786885246)
(('bicycle_parking', 'ice_cream'), 0.04918032786885246)
(('bank', 'bicycle_repair_station'), 0.04918032786885246)
(('restaurant', 'public_bookcase'), 0.0475)
(('restaurant', 'post_office'), 0.0475)
(('bench', 'cafe'), 0.046511627906976744)
(('pharmacy', 'theatre'), 0.046153846153846156)
(('pharmacy', 'doctors'), 0.046153846153846156)
(('post_office', 'courthouse'), 0.045454545454545456)
(('post_office', 'townhall'), 0.045454545454545456)
(('bicycle_rental', 'hospital'), 0.045454545454545456)
(('bicycle_rental', 'courthouse'), 0.045454545454545456)
(('bicycle_rental', 'townhall'), 0.045454545454545456)
(('bicycle_rental', 'police'), 0.045454545454545456)
(('bicycle_rental', 'nightclub'), 0.045454545454545456)
(('bicycle_rental', 'university'), 0.045454545454545456)
(('post_office', 'ice_cream'), 0.045454545454545456)
(('fast_food', 'post_box'), 0.04516129032258064)
(('fast_food', 'public_building'), 0.04516129032258064)
(('place_of_worship', 'fuel'), 0.04504504504504504)
(('school', 'school'), 0.044929396662387676)
(('toilets', 'shelter'), 0.043795620437956206)
(('place_of_worship', 'school'), 0.043645699614890884)
(('bar', 'townhall'), 0.041666666666666664)
(('bar', 'post_box'), 0.041666666666666664)
(('bar', 'dojo'), 0.041666666666666664)
(('toilets', 'taxi'), 0.04081632653061224)
(('toilets', 'cafe'), 0.04081632653061224)
(('toilets', 'library'), 0.04081632653061224)
(('drinking_water', 'library'), 0.04081632653061224)
(('library', 'vending_machine'), 0.04081632653061224)
(('bicycle_repair_station', 'library'), 0.04081632653061224)
(('library', 'ice_cream'), 0.04081632653061224)
(('library', 'pub'), 0.04081632653061224)
(('restaurant', 'community_centre'), 0.04)
(('bicycle_repair_station', 'waste_basket'), 0.04)
(('food_court', 'waste_basket'), 0.04)
(('post_box', 'waste_basket'), 0.04)
(('waste_basket', 'parking_entrance'), 0.04)
(('waste_basket', 'bicycle_rental'), 0.04)
(('waste_basket', 'courthouse'), 0.04)
(('waste_basket', 'townhall'), 0.04)
(('cafe', 'arts_centre'), 0.03896103896103896)
