Duration: 919 s 
Number of collocations: 1489
(('outpost', 'outpost'), 1)
(('payment_terminal', 'pharmacy'), 0.025056947608200455)
(('bench', 'shelter'), 0.025008015389547934)
(('bench', 'parking_entrance'), 0.025008015389547934)
(('cinema', 'restaurant'), 0.024691358024691357)
(('restaurant', 'nightclub'), 0.024691358024691357)
(('bar', 'place_of_worship'), 0.024657534246575342)
(('bureau_de_change', 'bank'), 0.02465483234714004)
(('telephone', 'theatre'), 0.024096385542168676)
(('theatre', 'community_centre'), 0.024096385542168676)
(('telephone', 'cafe'), 0.0240831964969896)
(('bureau_de_change', 'restaurant'), 0.024074074074074074)
(('courthouse', 'marketplace'), 0.023809523809523808)
(('waste_disposal', 'bar'), 0.023741690408357077)
(('dentist', 'bureau_de_change'), 0.023529411764705882)
(('theatre', 'dentist'), 0.023529411764705882)
(('dentist', 'hookah_lounge'), 0.023529411764705882)
(('device_charging_station', 'fast_food'), 0.02335456475583864)
(('police', 'veterinary'), 0.023255813953488372)
(('social_facility', 'police'), 0.023255813953488372)
(('bar', 'waste_basket'), 0.023083264633140973)
(('waste_basket', 'shelter'), 0.023083264633140973)
(('toilets', 'drinking_water'), 0.023076923076923078)
(('bar', 'stripclub'), 0.022950819672131147)
(('bar', 'bureau_de_change'), 0.022950819672131147)
(('vending_machine', 'bicycle_rental'), 0.022459893048128343)
(('bicycle_parking', 'theatre'), 0.02245508982035928)
(('clinic', 'fast_food'), 0.022292993630573247)
(('fast_food', 'fountain'), 0.022292993630573247)
(('childcare', 'social_facility'), 0.022222222222222223)
(('veterinary', 'ice_cream'), 0.022222222222222223)
(('parking_entrance', 'bar'), 0.022099447513812154)
(('arts_centre', 'music_school'), 0.021739130434782608)
(('food_court', 'arts_centre'), 0.021739130434782608)
(('pharmacy', 'post_office'), 0.02164009111617312)
(('language_school', 'bureau_de_change'), 0.021505376344086023)
(('bureau_de_change', 'taxi'), 0.021505376344086023)
(('bureau_de_change', 'bureau_de_change'), 0.021505376344086023)
(('vending_machine', 'place_of_worship'), 0.0213903743315508)
(('pub', 'vending_machine'), 0.0213903743315508)
(('cafe', 'post_office'), 0.021346469622331693)
(('doctors', 'hospital'), 0.02127659574468085)
(('bench', 'dentist'), 0.020519397242705996)
(('fountain', 'toilets'), 0.020512820512820513)
(('post_box', 'pharmacy'), 0.02050113895216401)
(('pharmacy', 'parking_entrance'), 0.02050113895216401)
(('bicycle_rental', 'bicycle_rental'), 0.02)
(('bureau_de_change', 'clinic'), 0.01996007984031936)
(('clinic', 'theatre'), 0.01996007984031936)
(('training', 'public_service'), 0.019801980198019802)
(('shelter', 'fountain'), 0.019801980198019802)
(('training', 'payment_terminal'), 0.019801980198019802)
(('community_centre', 'training'), 0.019801980198019802)
(('post_office', 'waste_basket'), 0.01978565539983512)
(('restaurant', 'place_of_worship'), 0.019753086419753086)
(('cafe', 'hookah_lounge'), 0.019704433497536946)
(('bar', 'library'), 0.019672131147540985)
(('bicycle_parking', 'university'), 0.019461077844311378)
(('bicycle_parking', 'hookah_lounge'), 0.019461077844311378)
(('bicycle_parking', 'place_of_worship'), 0.019461077844311378)
(('post_office', 'library'), 0.01935483870967742)
(('post_office', 'telephone'), 0.01935483870967742)
(('parking_entrance', 'embassy'), 0.019337016574585635)
(('theatre', 'parking_entrance'), 0.019337016574585635)
(('theatre', 'atm'), 0.019316493313521546)
(('parking', 'bar'), 0.019268580416830515)
(('university', 'place_of_worship'), 0.019178082191780823)
(('cafe', 'car_wash'), 0.019157088122605363)
(('cafe', 'cinema'), 0.019157088122605363)
(('restaurant', 'telephone'), 0.019135802469135803)
(('waste_disposal', 'atm'), 0.01899335232668566)
(('toilets', 'bank'), 0.01873767258382643)
(('cafe', 'university'), 0.018609742747673783)
(('nightclub', 'cafe'), 0.018609742747673783)
(('cafe', 'place_of_worship'), 0.018609742747673783)
(('college', 'music_school'), 0.018518518518518517)
(('car_wash', 'parking'), 0.0184821077467558)
(('post_box', 'vending_machine'), 0.01818181818181818)
(('bureau_de_change', 'theatre'), 0.018072289156626505)
(('cafe', 'doctors'), 0.0180623973727422)
(('doctors', 'fast_food'), 0.018046709129511677)
(('fast_food', 'shelter'), 0.018046709129511677)
(('post_office', 'bicycle_parking'), 0.017964071856287425)
(('bicycle_parking', 'post_box'), 0.017964071856287425)
(('toilets', 'post_office'), 0.017948717948717947)
(('toilets', 'place_of_worship'), 0.017948717948717947)
(('toilets', 'theatre'), 0.017948717948717947)
(('bureau_de_change', 'toilets'), 0.017948717948717947)
(('shelter', 'kindergarten'), 0.017892644135188866)
(('training', 'dentist'), 0.01764705882352941)
(('clock', 'telephone'), 0.017543859649122806)
(('cinema', 'nightclub'), 0.017543859649122806)
(('drinking_water', 'telephone'), 0.017543859649122806)
(('training', 'telephone'), 0.017543859649122806)
(('nightclub', 'stripclub'), 0.017543859649122806)
(('pub', 'bench'), 0.017313241423533184)
(('payment_terminal', 'shower'), 0.017241379310344827)
(('payment_terminal', 'marketplace'), 0.017241379310344827)
(('clock', 'payment_terminal'), 0.017241379310344827)
(('public_service', 'payment_terminal'), 0.017241379310344827)
(('payment_terminal', 'photo_booth'), 0.017241379310344827)
