Duration: 79 s 

Number of collocations: 1208

(('ferry_terminal', 'ferry_terminal'), 1)
(('social_facility', 'beauty salon'), 0.11764705882352941)
(('social_facility', 'dry cleaner'), 0.11764705882352941)
(('restaurant', 'bicycle_repair_station'), 0.1175)
(('pharmacy', 'parking'), 0.11690363349131122)
(('cafe', 'nightclub'), 0.11688311688311688)
(('cafe', 'fountain'), 0.11688311688311688)
(('cafe', 'public_bookcase'), 0.11688311688311688)
(('bench', 'community_centre'), 0.11627906976744186)
(('restaurant', 'courthouse'), 0.115)
(('bank', 'pub'), 0.11475409836065574)
(('bank', 'police'), 0.11475409836065574)
(('bank', 'community_centre'), 0.11475409836065574)
(('bank', 'arts_centre'), 0.11475409836065574)
(('bicycle_repair_station', 'bar'), 0.11458333333333333)
(('bicycle_parking', 'parking'), 0.11374407582938388)
(('police', 'bicycle_rental'), 0.11363636363636363)
(('bicycle_rental', 'picnic_area'), 0.11363636363636363)
(('pharmacy', 'fuel'), 0.11214953271028037)
(('townhall', 'public_building'), 0.1111111111111111)
(('post_office', 'police'), 0.1111111111111111)
(('police', 'fire_station'), 0.1111111111111111)
(('library', 'fire_station'), 0.1111111111111111)
(('bicycle_parking', 'clinic'), 0.1111111111111111)
(('atm', 'clinic'), 0.1111111111111111)
(('bicycle_parking', 'police'), 0.1111111111111111)
(('townhall', 'pub'), 0.1111111111111111)
(('police', 'public_building'), 0.1111111111111111)
(('dentist', 'community_centre'), 0.1111111111111111)
(('parking', 'shelter'), 0.10963665086887836)
(('toilets', 'university'), 0.10526315789473684)
(('arts_centre', 'university'), 0.10526315789473684)
(('restaurant', 'fountain'), 0.105)
(('bar', 'courthouse'), 0.10416666666666667)
(('bar', 'fire_station'), 0.10416666666666667)
(('cafe', 'university'), 0.1038961038961039)
(('cafe', 'courthouse'), 0.1038961038961039)
(('theatre', 'events_venue'), 0.10344827586206896)
(('public_bookcase', 'theatre'), 0.10344827586206896)
(('fast_food', 'dentist'), 0.1032258064516129)
(('bench', 'shelter'), 0.10218978102189781)
(('bicycle_rental', 'shelter'), 0.10218978102189781)
(('cafe', 'library'), 0.10204081632653061)
(('library', 'public_building'), 0.10204081632653061)
(('bicycle_repair_station', 'library'), 0.10204081632653061)
(('toilets', 'vending_machine'), 0.10204081632653061)
(('library', 'fountain'), 0.10204081632653061)
(('bbq', 'toilets'), 0.10204081632653061)
(('bench', 'atm'), 0.10077519379844961)
(('bench', 'fountain'), 0.10077519379844961)
(('bus_station', 'car_wash'), 0.1)
(('cinema', 'car_wash'), 0.1)
(('bus_station', 'cinema'), 0.1)
(('nightclub', 'doctors'), 0.1)
(('parking_entrance', 'post_box'), 0.1)
(('studio', 'bus_station'), 0.1)
(('cinema', 'planetarium'), 0.1)
(('parking_entrance', 'pub'), 0.1)
(('post_box', 'post_box'), 0.1)
(('studio', 'childcare'), 0.1)
(('arts_centre', 'pub'), 0.1)
(('doctors', 'dentist'), 0.1)
(('veterinary', 'studio'), 0.1)
(('townhall', 'bank'), 0.09836065573770492)
(('bank', 'doctors'), 0.09836065573770492)
(('bank', 'ice_cream'), 0.09836065573770492)
(('post_box', 'bicycle_parking'), 0.09836065573770492)
(('theatre', 'bank'), 0.09836065573770492)
(('bicycle_parking', 'yes'), 0.09836065573770492)
(('bench', 'parking'), 0.09826224328593997)
(('restaurant', 'clinic'), 0.0975)
(('pub', 'fast_food'), 0.0967741935483871)
(('theatre', 'parking'), 0.09541864139020537)
(('vending_machine', 'bar'), 0.09375)
(('pub', 'parking'), 0.09352290679304898)
(('fast_food', 'place_of_worship'), 0.09266409266409266)
(('fire_station', 'clinic'), 0.09259259259259259)
(('post_office', 'courthouse'), 0.09090909090909091)
(('nightclub', 'veterinary'), 0.09090909090909091)
(('veterinary', 'ice_cream'), 0.09090909090909091)
(('bicycle_rental', 'clinic'), 0.09090909090909091)
(('atm', 'bicycle_rental'), 0.09090909090909091)
(('parking_entrance', 'bicycle_rental'), 0.09090909090909091)
(('bicycle_rental', 'bus_station'), 0.09090909090909091)
(('cafe', 'arts_centre'), 0.09090909090909091)
(('ice_cream', 'events_venue'), 0.09090909090909091)
(('ice_cream', 'atm'), 0.09090909090909091)
(('events_venue', 'nightclub'), 0.09090909090909091)
(('atm', 'nightclub'), 0.09090909090909091)
(('cafe', 'picnic_area'), 0.09090909090909091)
(('parking_entrance', 'cafe'), 0.09090909090909091)
(('nightclub', 'bus_station'), 0.09090909090909091)
(('picnic_area', 'ice_cream'), 0.09090909090909091)
(('public_bookcase', 'ice_cream'), 0.09090909090909091)
(('yes', 'ice_cream'), 0.09090909090909091)
(('nightclub', 'public_bookcase'), 0.09090909090909091)
(('nightclub', 'casino'), 0.09090909090909091)
(('ice_cream', 'casino'), 0.09090909090909091)
(('ice_cream', 'prison'), 0.09090909090909091)
(('ice_cream', 'marketplace'), 0.09090909090909091)
(('ice_cream', 'bbq'), 0.09090909090909091)
(('dojo', 'post_office'), 0.09090909090909091)
(('dojo', 'ice_cream'), 0.09090909090909091)
(('arts_centre', 'post_office'), 0.09090909090909091)
(('arts_centre', 'ice_cream'), 0.09090909090909091)
(('post_office', 'vending_machine'), 0.09090909090909091)
(('post_office', 'post_office'), 0.09090909090909091)
(('post_office', 'pub'), 0.09090909090909091)
(('public_building', 'university'), 0.09090909090909091)
(('donuts', 'ice_cream'), 0.09090909090909091)
(('clinic', 'fast_food'), 0.09032258064516129)
(('bench', 'restaurant'), 0.09)
(('restaurant', 'toilets'), 0.0875)
(('public_bookcase', 'restaurant'), 0.0875)
(('bench', 'post_box'), 0.08527131782945736)
(('drinking_water', 'bench'), 0.08527131782945736)
(('bicycle_repair_station', 'bench'), 0.08527131782945736)
(('car_wash', 'fast_food'), 0.08387096774193549)
(('arts_centre', 'courthouse'), 0.08333333333333333)
(('townhall', 'bar'), 0.08333333333333333)
(('nightclub', 'clinic'), 0.08333333333333333)
(('bar', 'bench'), 0.08333333333333333)
(('clinic', 'ice_cream'), 0.08333333333333333)
(('bar', 'parking_entrance'), 0.08333333333333333)
(('fountain', 'courthouse'), 0.08333333333333333)
(('deloitte', 'courthouse'), 0.08333333333333333)
(('picnic_area', 'courthouse'), 0.08333333333333333)
(('public_bookcase', 'courthouse'), 0.08333333333333333)
(('ice_cream', 'courthouse'), 0.08333333333333333)
(('bar', 'dojo'), 0.08333333333333333)
(('dentist', 'courthouse'), 0.08333333333333333)
(('nightclub', 'courthouse'), 0.08333333333333333)
(('vending_machine', 'courthouse'), 0.08333333333333333)
(('casino', 'courthouse'), 0.08333333333333333)
(('post_box', 'bank'), 0.08196721311475409)
(('bicycle_parking', 'townhall'), 0.08196721311475409)
(('bank', 'public_building'), 0.08196721311475409)
(('bicycle_parking', 'picnic_area'), 0.08196721311475409)
(('telephone', 'toilets'), 0.08163265306122448)
(('toilets', 'community_centre'), 0.08163265306122448)
(('bench', 'library'), 0.08163265306122448)
(('post_office', 'restaurant'), 0.08)
(('restaurant', 'arts_centre'), 0.08)
(('fuel', 'bar'), 0.0794392523364486)
(('cafe', 'community_centre'), 0.07792207792207792)
(('parking_entrance', 'restaurant'), 0.0775)
(('fast_food', 'ice_cream'), 0.07741935483870968)
(('fire_station', 'fast_food'), 0.07741935483870968)
(('bicycle_repair_station', 'fast_food'), 0.07741935483870968)
(('restaurant', 'school'), 0.07702182284980745)
(('pharmacy', 'post_office'), 0.07692307692307693)
(('pharmacy', 'veterinary'), 0.07692307692307693)
(('telephone', 'atm'), 0.07692307692307693)
(('atm', 'taxi'), 0.07692307692307693)
(('telephone', 'drinking_water'), 0.07692307692307693)
(('drinking_water', 'college'), 0.07692307692307693)
(('atm', 'studio'), 0.07692307692307693)
(('ice_cream', 'drinking_water'), 0.07692307692307693)
(('drinking_water', 'nightclub'), 0.07692307692307693)
(('theatre', 'pharmacy'), 0.07692307692307693)
(('pharmacy', 'university'), 0.07692307692307693)
(('pharmacy', 'police'), 0.07692307692307693)
(('car_wash', 'pharmacy'), 0.07692307692307693)
(('conference_centre', 'waste_disposal'), 0.07692307692307693)
(('atm', 'marketplace'), 0.07692307692307693)
(('office', 'drinking_water'), 0.07692307692307693)
(('rail', 'waste_disposal'), 0.07692307692307693)
(('fuel', 'cafe'), 0.07476635514018691)
(('post_office', 'fire_station'), 0.07407407407407407)
(('fire_station', 'townhall'), 0.07407407407407407)
(('atm', 'community_centre'), 0.07407407407407407)
(('fountain', 'community_centre'), 0.07407407407407407)
(('post_box', 'community_centre'), 0.07407407407407407)
(('police', 'bus_station'), 0.07407407407407407)
(('police', 'studio'), 0.07407407407407407)
(('theatre', 'community_centre'), 0.07407407407407407)
(('cafe', 'police'), 0.07407407407407407)
(('police', 'nightclub'), 0.07407407407407407)
(('community_centre', 'community_centre'), 0.07407407407407407)
(('ice_cream', 'police'), 0.07407407407407407)
(('community_centre', 'arts_centre'), 0.07407407407407407)
(('community_centre', 'nightclub'), 0.07407407407407407)
(('community_centre', 'post_office'), 0.07407407407407407)
(('shelter', 'community_centre'), 0.072992700729927)
(('police', 'bar'), 0.07291666666666667)
(('bar', 'bus_station'), 0.07291666666666667)
(('parking', 'university'), 0.07266982622432859)
(('restaurant', 'community_centre'), 0.0725)
(('post_box', 'fast_food'), 0.07096774193548387)
(('fast_food', 'post_office'), 0.07096774193548387)
(('fast_food', 'public_building'), 0.07096774193548387)
(('fire_station', 'parking'), 0.07014218009478673)
(('parking', 'library'), 0.06951026856240126)
(('theatre', 'bus_station'), 0.06896551724137931)
(('theatre', 'prison'), 0.06896551724137931)
(('ice_cream', 'theatre'), 0.06896551724137931)
(('toilets', 'theatre'), 0.06896551724137931)
(('conference_centre', 'theatre'), 0.06896551724137931)
(('dentist', 'theatre'), 0.06896551724137931)
(('post_office', 'theatre'), 0.06896551724137931)
(('theatre', 'vending_machine'), 0.06896551724137931)
(('theatre', 'police'), 0.06896551724137931)
(('bar', 'place_of_worship'), 0.0682110682110682)
(('bicycle_rental', 'community_centre'), 0.06818181818181818)
(('bicycle_rental', 'cinema'), 0.06818181818181818)
(('bicycle_rental', 'arts_centre'), 0.06818181818181818)
(('bicycle_rental', 'hospital'), 0.06818181818181818)
(('bicycle_rental', 'yes'), 0.06818181818181818)
(('bicycle_rental', 'prison'), 0.06818181818181818)
(('restaurant', 'shelter'), 0.0675)
(('parking', 'public_building'), 0.06698262243285939)
(('atm', 'pub'), 0.06666666666666667)
(('atm', 'hospital'), 0.06666666666666667)
(('bicycle_repair_station', 'pub'), 0.06666666666666667)
(('pub', 'prison'), 0.06666666666666667)
(('hospital', 'nightclub'), 0.06666666666666667)
(('pub', 'community_centre'), 0.06666666666666667)
(('theatre', 'shelter'), 0.06569343065693431)
(('fountain', 'bank'), 0.06557377049180328)
(('veterinary', 'bank'), 0.06557377049180328)
(('bicycle_parking', 'community_centre'), 0.06557377049180328)
(('bank', 'events_venue'), 0.06557377049180328)
(('bank', 'hospital'), 0.06557377049180328)
(('bank', 'parking_entrance'), 0.06557377049180328)
(('bicycle_parking', 'bus_station'), 0.06557377049180328)
(('bank', 'car_wash'), 0.06557377049180328)
(('post_box', 'restaurant'), 0.065)
(('fire_station', 'restaurant'), 0.065)
(('cafe', 'post_box'), 0.06493506493506493)
(('bench', 'cafe'), 0.06493506493506493)
(('clinic', 'cafe'), 0.06493506493506493)
(('cafe', 'studio'), 0.06493506493506493)
(('cafe', 'casino'), 0.06493506493506493)
(('fast_food', 'library'), 0.06451612903225806)
(('fountain', 'fast_food'), 0.06451612903225806)
(('clinic', 'parking'), 0.06382306477093207)
(('police', 'restaurant'), 0.0625)
(('post_box', 'bar'), 0.0625)
(('studio', 'college'), 0.0625)
(('drinking_water', 'bicycle_repair_station'), 0.0625)
(('bicycle_repair_station', 'radio_studio'), 0.0625)
(('bicycle_repair_station', 'vending_machine'), 0.0625)
(('bicycle_repair_station', 'food_court'), 0.0625)
(('picnic_area', 'bicycle_repair_station'), 0.0625)
(('yes', 'bicycle_repair_station'), 0.0625)
(('ice_cream', 'bicycle_repair_station'), 0.0625)
(('nightclub', 'bicycle_repair_station'), 0.0625)
(('parking_entrance', 'bicycle_repair_station'), 0.0625)
(('bicycle_repair_station', 'studio'), 0.0625)
(('bicycle_repair_station', 'childcare'), 0.0625)
(('bicycle_repair_station', 'animal_boarding'), 0.0625)
(('college', 'arts_centre'), 0.0625)
(('bench', 'police'), 0.06201550387596899)
(('bench', 'university'), 0.06201550387596899)
(('parking_entrance', 'parking'), 0.061611374407582936)
(('pharmacy', 'post_box'), 0.06153846153846154)
(('library', 'pharmacy'), 0.06153846153846154)
(('nightclub', 'pharmacy'), 0.06153846153846154)
(('pharmacy', 'parking_entrance'), 0.06153846153846154)
(('toilets', 'taxi'), 0.061224489795918366)
(('toilets', 'library'), 0.061224489795918366)
(('drinking_water', 'library'), 0.061224489795918366)
(('toilets', 'ice_cream'), 0.061224489795918366)
(('toilets', 'casino'), 0.061224489795918366)
(('theatre', 'library'), 0.061224489795918366)
(('fuel', 'library'), 0.06074766355140187)
(('arts_centre', 'public_building'), 0.06060606060606061)
(('picnic_area', 'public_building'), 0.06060606060606061)
(('studio', 'public_building'), 0.06060606060606061)
(('public_building', 'bus_station'), 0.06060606060606061)
(('cafe', 'place_of_worship'), 0.06048906048906049)
(('townhall', 'restaurant'), 0.06)
(('telephone', 'fountain'), 0.058823529411764705)
(('atm', 'fountain'), 0.058823529411764705)
(('fountain', 'taxi'), 0.058823529411764705)
(('social_facility', 'fountain'), 0.058823529411764705)
(('nightclub', 'car_wash'), 0.058823529411764705)
(('veterinary', 'dentist'), 0.058823529411764705)
(('social_facility', 'bicycle_repair_station'), 0.058823529411764705)
(('social_facility', 'library'), 0.058823529411764705)
(('parking_entrance', 'atm'), 0.058823529411764705)
(('public_bookcase', 'car_wash'), 0.058823529411764705)
