Duration: 79 s 

Number of collocations: 1208

(('ferry_terminal', 'ferry_terminal'), 1)
(('place_of_worship', 'cinema'), 0.003861003861003861)
(('drinking_water', 'place_of_worship'), 0.003861003861003861)
(('atm', 'place_of_worship'), 0.003861003861003861)
(('place_of_worship', 'dry cleaner'), 0.003861003861003861)
(('place_of_worship', 'kindergarten'), 0.003861003861003861)
(('pub', 'school'), 0.0038510911424903724)
(('atm', 'school'), 0.0038510911424903724)
(('school', 'college'), 0.0038510911424903724)
(('parking', 'animal_shelter'), 0.0037914691943127963)
(('place_of_worship', 'animal_shelter'), 0.002574002574002574)
(('place_of_worship', 'bus_station'), 0.002574002574002574)
(('place_of_worship', 'planetarium'), 0.002574002574002574)
(('place_of_worship', 'fountain'), 0.002574002574002574)
(('donuts', 'place_of_worship'), 0.002574002574002574)
(('school', 'marketplace'), 0.0025673940949935813)
(('veterinary', 'school'), 0.0025673940949935813)
(('events_venue', 'school'), 0.0025673940949935813)
(('school', 'arts_centre'), 0.0025673940949935813)
(('picnic_area', 'school'), 0.0025673940949935813)
(('public_bookcase', 'school'), 0.0025673940949935813)
(('school', 'public_building'), 0.0025673940949935813)
(('school', 'fountain'), 0.0025673940949935813)
(('townhall', 'school'), 0.0025673940949935813)
(('parking_entrance', 'school'), 0.0025673940949935813)
(('school', 'waste_disposal'), 0.0025673940949935813)
(('school', 'childcare'), 0.0025673940949935813)
(('school', 'animal_shelter'), 0.0025673940949935813)
(('school', 'doctors'), 0.0025673940949935813)
(('school', 'grave_yard'), 0.0025673940949935813)
(('school', 'dentist'), 0.0025673940949935813)
(('prison', 'school'), 0.0025673940949935813)
(('telephone', 'parking'), 0.002527646129541864)
(('swimming_pool', 'parking'), 0.002527646129541864)
(('bbq', 'parking'), 0.002527646129541864)
(('dojo', 'parking'), 0.002527646129541864)
(('deloitte', 'restaurant'), 0.0025)
(('food_court', 'parking'), 0.0022116903633491313)
(('deloitte', 'parking'), 0.0022116903633491313)
(('healthcare', 'parking'), 0.001579778830963665)
(('animal_boarding', 'parking'), 0.001579778830963665)
(('place_of_worship', 'scrapyard'), 0.001287001287001287)
(('place_of_worship', 'sorority'), 0.001287001287001287)
(('events_venue', 'place_of_worship'), 0.001287001287001287)
(('deloitte', 'place_of_worship'), 0.001287001287001287)
(('picnic_area', 'place_of_worship'), 0.001287001287001287)
(('place_of_worship', 'beauty salon'), 0.001287001287001287)
(('healthcare', 'place_of_worship'), 0.001287001287001287)
(('place_of_worship', 'college'), 0.001287001287001287)
(('office', 'place_of_worship'), 0.001287001287001287)
(('place_of_worship', 'vending_machine'), 0.001287001287001287)
(('dojo', 'place_of_worship'), 0.001287001287001287)
(('club', 'place_of_worship'), 0.001287001287001287)
(('waste_basket', 'place_of_worship'), 0.001287001287001287)
(('car_rental', 'place_of_worship'), 0.001287001287001287)
(('place_of_worship', 'studio'), 0.001287001287001287)
(('drinking_water', 'school'), 0.0012836970474967907)
(('vending_machine', 'school'), 0.0012836970474967907)
(('school', 'yes'), 0.0012836970474967907)
(('conference_centre', 'school'), 0.0012836970474967907)
(('school', 'car_rental'), 0.0012836970474967907)
(('dojo', 'school'), 0.0012836970474967907)
(('school', 'club'), 0.0012836970474967907)
(('waste_basket', 'school'), 0.0012836970474967907)
(('school', 'rail'), 0.0012836970474967907)
(('taxi', 'parking'), 0.001263823064770932)
(('recycling', 'parking'), 0.0009478672985781991)
(('parking', 'radio_studio'), 0.0009478672985781991)
(('parking', 'first_aid'), 0.0009478672985781991)
(('parking', 'donuts'), 0.0009478672985781991)
(('parking', 'monestary'), 0.000631911532385466)
(('sorority', 'parking'), 0.000315955766192733)
(('office', 'parking'), 0.000315955766192733)
(('grave_yard', 'parking'), 0.000315955766192733)
(('customs', 'parking'), 0.000315955766192733)
