Duration: 799 s 

Number of collocations: 2297

(('feeding_place', 'feeding_place'), 1)
(('embassy', 'arts_centre'), 0.07586206896551724)
(('kindergarten', 'clinic'), 0.07584830339321358)
(('dentist', 'waste_basket'), 0.07584501236603462)
(('waste_basket', 'fountain'), 0.07584501236603462)
(('bureau_de_change', 'cafe'), 0.0755336617405583)
(('nightclub', 'bureau_de_change'), 0.07526881720430108)
(('bank', 'toilets'), 0.07495069033530571)
(('telephone', 'pharmacy'), 0.07403189066059225)
(('pub', 'bench'), 0.07374158384097468)
(('bicycle_rental', 'theatre'), 0.07333333333333333)
(('fast_food', 'cinema'), 0.0732484076433121)
(('doctors', 'pharmacy'), 0.07289293849658314)
(('pub', 'atm'), 0.07280832095096583)
(('waste_basket', 'parking_entrance'), 0.07254740313272877)
(('bar', 'waste_disposal'), 0.0721747388414055)
(('parking_entrance', 'theatre'), 0.0718232044198895)
(('vending_machine', 'place_of_worship'), 0.07165775401069518)
(('vending_machine', 'school'), 0.07165775401069518)
(('bureau_de_change', 'bank'), 0.07100591715976332)
(('hospital', 'hospital'), 0.07079646017699115)
(('vending_machine', 'kindergarten'), 0.07058823529411765)
(('bureau_de_change', 'restaurant'), 0.07037037037037037)
(('clock', 'telephone'), 0.07017543859649122)
(('bicycle_rental', 'telephone'), 0.07)
(('post_box', 'atm'), 0.06983655274888559)
(('toilets', 'fountain'), 0.06923076923076923)
(('ice_cream', 'device_charging_station'), 0.06896551724137931)
(('ice_cream', 'ice_cream'), 0.06896551724137931)
(('public_service', 'public_service'), 0.06896551724137931)
(('post_office', 'atm'), 0.06835066864784546)
(('atm', 'bureau_de_change'), 0.06835066864784546)
(('fast_food', 'place_of_worship'), 0.06794055201698514)
(('library', 'library'), 0.06766917293233082)
(('dentist', 'bicycle_rental'), 0.06764705882352941)
(('dentist', 'bureau_de_change'), 0.06764705882352941)
(('school', 'dentist'), 0.06751054852320675)
(('fast_food', 'fountain'), 0.06687898089171974)
(('bicycle_rental', 'place_of_worship'), 0.06666666666666667)
(('parking_entrance', 'university'), 0.06629834254143646)
