Duration: 950 s 
Number of collocations: 3582
(('feeding_place', 'feeding_place'), 1)
(('restaurant', 'waste_basket'), 0.33827160493827163)
(('parking_entrance', 'waste_basket'), 0.33553173948887055)
(('school', 'dentist'), 0.33544303797468356)
(('pub', 'parking_entrance'), 0.3342541436464088)
(('parking_entrance', 'bicycle_rental'), 0.3333333333333333)
(('bicycle_rental', 'pub'), 0.3333333333333333)
(('smoking_area', 'car_sharing'), 0.3333333333333333)
(('sauna', 'sanatorium'), 0.3333333333333333)
(('sauna', 'dormitory'), 0.3333333333333333)
(('sanatorium', 'prison'), 0.3333333333333333)
(('dormitory', 'prison'), 0.3333333333333333)
(('pub', 'dentist'), 0.3323529411764706)
(('bureau_de_change', 'pub'), 0.3319838056680162)
(('fountain', 'bar'), 0.3316831683168317)
(('pub', 'clinic'), 0.3313373253493014)
(('cafe', 'waste_basket'), 0.32950191570881227)
(('bank', 'toilets'), 0.32938856015779094)
(('pub', 'doctors'), 0.32793522267206476)
(('atm', 'pub'), 0.32689450222882616)
(('bicycle_rental', 'waste_basket'), 0.32666666666666666)
(('bar', 'bench'), 0.3257454312279577)
(('dentist', 'parking'), 0.3248132127408573)
(('telephone', 'bureau_de_change'), 0.32456140350877194)
(('embassy', 'arts_centre'), 0.32413793103448274)
(('bench', 'kindergarten'), 0.32285989099070217)
(('pharmacy', 'pub'), 0.3211845102505695)
(('restaurant', 'university'), 0.32037037037037036)
(('dentist', 'waste_basket'), 0.3176470588235294)
(('vending_machine', 'place_of_worship'), 0.3176470588235294)
(('atm', 'waste_basket'), 0.3164933135215453)
(('atm', 'school'), 0.31645569620253167)
(('pub', 'telephone'), 0.3157894736842105)
(('childcare', 'childcare'), 0.3157894736842105)
(('bar', 'hookah_lounge'), 0.31475409836065577)
(('dentist', 'place_of_worship'), 0.31470588235294117)
(('doctors', 'doctors'), 0.3120567375886525)
(('parking_entrance', 'vending_machine'), 0.31122994652406416)
(('fast_food', 'place_of_worship'), 0.3099787685774947)
(('car_wash', 'fuel'), 0.3094170403587444)
(('clinic', 'university'), 0.3093812375249501)
(('cafe', 'university'), 0.3092501368363437)
(('vending_machine', 'bar'), 0.3090909090909091)
(('bar', 'atm'), 0.30906389301634474)
(('school', 'bicycle_parking'), 0.3080168776371308)
(('bar', 'place_of_worship'), 0.30684931506849317)
(('place_of_worship', 'bicycle_rental'), 0.30333333333333334)
(('toilets', 'parking_entrance'), 0.30256410256410254)
(('clinic', 'waste_basket'), 0.29740518962075846)
(('bench', 'place_of_worship'), 0.29592818210965055)
(('kindergarten', 'restaurant'), 0.295679012345679)
(('vending_machine', 'toilets'), 0.29518716577540105)
(('pharmacy', 'waste_basket'), 0.2949886104783599)
(('toilets', 'bar'), 0.2948717948717949)
(('toilets', 'pub'), 0.2923076923076923)
(('bar', 'doctors'), 0.29180327868852457)
(('bar', 'nightclub'), 0.29180327868852457)
(('parking_entrance', 'place_of_worship'), 0.29041095890410956)
(('telephone', 'fast_food'), 0.2898089171974522)
(('social_facility', 'social_facility'), 0.28888888888888886)
(('place_of_worship', 'atm'), 0.28826151560178304)
(('pharmacy', 'bar'), 0.28815489749430523)
(('cafe', 'kindergarten'), 0.28790366721401206)
(('theatre', 'cafe'), 0.28790366721401206)
(('pub', 'training'), 0.2874493927125506)
(('dentist', 'doctors'), 0.2852941176470588)
(('dentist', 'university'), 0.2852941176470588)
(('parking_entrance', 'doctors'), 0.2845303867403315)
(('kindergarten', 'bicycle_parking'), 0.28429423459244535)
(('toilets', 'clinic'), 0.2834331337325349)
(('nightclub', 'pub'), 0.2834008097165992)
(('bench', 'fountain'), 0.2831035588329593)
(('parking_entrance', 'university'), 0.2827868852459016)
(('pub', 'vending_machine'), 0.2823529411764706)
(('pharmacy', 'place_of_worship'), 0.28132118451025057)
(('bicycle_rental', 'parking'), 0.2803775068816359)
(('waste_basket', 'pub'), 0.27947238252267104)
(('pub', 'bench'), 0.27861494068611736)
(('car_wash', 'car_wash'), 0.27802690582959644)
(('college', 'college'), 0.2777777777777778)
(('post_office', 'pub'), 0.27741935483870966)
(('toilets', 'fountain'), 0.27692307692307694)
(('vending_machine', 'university'), 0.2748663101604278)
(('studio', 'studio'), 0.2727272727272727)
(('restaurant', 'fountain'), 0.2716049382716049)
(('pub', 'place_of_worship'), 0.27123287671232876)
(('post_office', 'pharmacy'), 0.27107061503416857)
(('parking_entrance', 'parking'), 0.27054659850570195)
(('bank', 'waste_basket'), 0.2702169625246548)
(('doctors', 'training'), 0.2695035460992908)
(('atm', 'kindergarten'), 0.2674591381872214)
(('hookah_lounge', 'pub'), 0.26720647773279355)
(('atm', 'university'), 0.2659732540861813)
(('pharmacy', 'parking_entrance'), 0.265375854214123)
(('bench', 'university'), 0.26322539275408785)
(('bicycle_parking', 'theatre'), 0.26047904191616766)
(('bicycle_rental', 'bicycle_rental'), 0.26)
(('waste_disposal', 'university'), 0.25925925925925924)
(('bureau_de_change', 'bar'), 0.25901639344262295)
