Duration: 258 s 
Number of collocations: 2217
(('payment_terminal', 'payment_terminal'), 1)
(('recycling', 'shelter'), 0.24563953488372092)
(('bank', 'place_of_worship'), 0.24390243902439024)
(('parking_entrance', 'bench'), 0.24348958333333334)
(('place_of_worship', 'parking'), 0.24327002477291496)
(('vending_machine', 'waste_disposal'), 0.24317617866004962)
(('recycling', 'pharmacy'), 0.24311926605504589)
(('bicycle_parking', 'university'), 0.24157303370786518)
(('toilets', 'bureau_de_change'), 0.24)
(('toilets', 'bank'), 0.24)
(('theatre', 'nightclub'), 0.24)
(('pub', 'taxi'), 0.23943661971830985)
(('bicycle_rental', 'recycling'), 0.23893805309734514)
(('nightclub', 'library'), 0.23728813559322035)
(('parking_entrance', 'bank'), 0.23636363636363636)
(('post_office', 'bicycle_parking'), 0.23595505617977527)
(('fast_food', 'place_of_worship'), 0.23577235772357724)
(('recycling', 'waste_basket'), 0.2354948805460751)
(('telephone', 'pub'), 0.23529411764705882)
(('theatre', 'cafe'), 0.23484848484848486)
(('post_office', 'kindergarten'), 0.234375)
(('police', 'cafe'), 0.23076923076923078)
(('theatre', 'ice_cream'), 0.23076923076923078)
(('pharmacy', 'library'), 0.22935779816513763)
(('fast_food', 'police'), 0.22875816993464052)
(('recycling', 'taxi'), 0.22866894197952217)
(('waste_disposal', 'parking_entrance'), 0.228287841191067)
(('university', 'vending_machine'), 0.22807017543859648)
(('ice_cream', 'cafe'), 0.22727272727272727)
(('bank', 'language_school'), 0.22727272727272727)
(('post_office', 'doctors'), 0.22666666666666666)
(('bench', 'place_of_worship'), 0.2265625)
(('fast_food', 'bench'), 0.2265625)
(('bench', 'kindergarten'), 0.22526041666666666)
(('bench', 'bank'), 0.22395833333333334)
(('parking', 'taxi'), 0.22295623451692817)
(('atm', 'toilets'), 0.22264150943396227)
(('fountain', 'fire_station'), 0.2222222222222222)
(('drinking_water', 'fountain'), 0.2222222222222222)
(('embassy', 'telephone'), 0.2222222222222222)
(('embassy', 'language_school'), 0.2222222222222222)
(('embassy', 'townhall'), 0.2222222222222222)
(('marketplace', 'marketplace'), 0.2222222222222222)
(('toilets', 'shelter'), 0.22093023255813954)
(('bank', 'stripclub'), 0.22077922077922077)
(('library', 'marketplace'), 0.22033898305084745)
(('clock', 'library'), 0.22033898305084745)
