Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('recycling', 'kindergarten'), 0.08532423208191127)
(('cafe', 'bench'), 0.08463541666666667)
(('bureau_de_change', 'taxi'), 0.08450704225352113)
(('bar', 'taxi'), 0.08450704225352113)
(('taxi', 'nightclub'), 0.08450704225352113)
(('recycling', 'shelter'), 0.08430232558139535)
(('bicycle_parking', 'university'), 0.08426966292134831)
(('parking', 'fast_food'), 0.08340214698596202)
(('baby_hatch', 'social_facility'), 0.08333333333333333)
(('studio', 'cinema'), 0.08333333333333333)
(('social_facility', 'lombard_banking'), 0.08333333333333333)
(('cafe', 'drinking_water'), 0.08333333333333333)
(('bar', 'social_facility'), 0.08333333333333333)
(('social_facility', 'stripclub'), 0.08333333333333333)
(('social_facility', 'townhall'), 0.08333333333333333)
(('bureau_de_change', 'fountain'), 0.08333333333333333)
(('food_court', 'cinema'), 0.08333333333333333)
(('pharmacy', 'taxi'), 0.08256880733944955)
(('bank', 'waste_disposal'), 0.08188585607940446)
(('fountain', 'bicycle_parking'), 0.08146067415730338)
(('fast_food', 'place_of_worship'), 0.08130081300813008)
(('fast_food', 'bench'), 0.08072916666666667)
(('post_office', 'community_centre'), 0.08)
(('post_office', 'taxi'), 0.08)
(('telephone', 'nightclub'), 0.08)
(('nightclub', 'language_school'), 0.08)
(('nightclub', 'monastery'), 0.08)
(('nightclub', 'townhall'), 0.08)
(('toilets', 'marketplace'), 0.08)
(('fountain', 'bicycle_rental'), 0.07964601769911504)
(('atm', 'parking_entrance'), 0.07924528301886792)
(('restaurant', 'drinking_water'), 0.07887323943661972)
(('parking_entrance', 'bank'), 0.07878787878787878)
(('cinema', 'fast_food'), 0.0784313725490196)
(('pub', 'social_facility'), 0.0784313725490196)
(('toilets', 'pharmacy'), 0.0779816513761468)
(('dentist', 'bank'), 0.07792207792207792)
(('toilets', 'bank'), 0.07792207792207792)
(('bank', 'bar'), 0.07792207792207792)
(('telephone', 'ice_cream'), 0.07692307692307693)
(('police', 'stripclub'), 0.07692307692307693)
(('police', 'nightclub'), 0.07692307692307693)
(('stripclub', 'ice_cream'), 0.07692307692307693)
(('arts_centre', 'ice_cream'), 0.07692307692307693)
(('ice_cream', 'language_school'), 0.07692307692307693)
(('pub', 'police'), 0.07692307692307693)
(('police', 'townhall'), 0.07692307692307693)
(('ice_cream', 'monastery'), 0.07692307692307693)
(('parking', 'bicycle_rental'), 0.07630057803468208)
(('library', 'bicycle_parking'), 0.07584269662921349)
(('police', 'cafe'), 0.07575757575757576)
(('cafe', 'townhall'), 0.07575757575757576)
(('cafe', 'social_facility'), 0.07575757575757576)
(('toilets', 'shelter'), 0.0755813953488372)
(('parking', 'school'), 0.07448389760528489)
(('embassy', 'arts_centre'), 0.07407407407407407)
(('embassy', 'theatre'), 0.07407407407407407)
(('embassy', 'police'), 0.07407407407407407)
(('embassy', 'language_school;offices'), 0.07407407407407407)
(('embassy', 'monastery'), 0.07407407407407407)
(('embassy', 'drinking_water'), 0.07407407407407407)
(('embassy', 'townhall'), 0.07407407407407407)
(('dentist', 'pharmacy'), 0.07339449541284404)
(('parking_entrance', 'restaurant'), 0.07323943661971831)
(('bank', 'place_of_worship'), 0.07317073170731707)
(('pub', 'place_of_worship'), 0.07317073170731707)
(('nightclub', 'public_building'), 0.07317073170731707)
(('bicycle_parking', 'nightclub'), 0.07303370786516854)
(('dentist', 'doctors'), 0.07246376811594203)
(('cafe', 'doctors'), 0.07246376811594203)
(('fast_food', 'library'), 0.0718954248366013)
(('fast_food', 'stripclub'), 0.0718954248366013)
(('atm', 'library'), 0.07169811320754717)
(('waste_basket', 'bicycle_repair_station'), 0.07086614173228346)
(('waste_basket', 'bicycle_rental'), 0.07079646017699115)
(('school', 'library'), 0.06967213114754098)
(('bicycle_rental', 'waste_disposal'), 0.06947890818858561)
(('bureau_de_change', 'lombard_banking'), 0.06896551724137931)
(('bureau_de_change', 'language_school'), 0.06896551724137931)
(('bureau_de_change', 'clock'), 0.06896551724137931)
