Duration: 14869 s 
Number of collocations: 1794
(('pub', 'parking'), 0.030279197797876523)
(('training', 'theatre'), 0.030120481927710843)
(('theatre', 'doctors'), 0.030120481927710843)
(('cafe', 'doctors'), 0.030103995621237)
(('bicycle_rental', 'clock'), 0.03)
(('fountain', 'vending_machine'), 0.029946524064171122)
(('vending_machine', 'school'), 0.029946524064171122)
(('bicycle_parking', 'doctors'), 0.029940119760479042)
(('bicycle_parking', 'clock'), 0.029940119760479042)
(('nightclub', 'bicycle_parking'), 0.029940119760479042)
(('community_centre', 'hookah_lounge'), 0.029850746268656716)
(('love_hotel', 'community_centre'), 0.029850746268656716)
(('fountain', 'ice_cream'), 0.0297029702970297)
(('post_box', 'fountain'), 0.0297029702970297)
(('training', 'post_box'), 0.0297029702970297)
(('doctors', 'pharmacy'), 0.029612756264236904)
(('bank', 'payment_terminal'), 0.029585798816568046)
(('cafe', 'police'), 0.029556650246305417)
(('police', 'bar'), 0.029508196721311476)
(('payment_terminal', 'bar'), 0.029508196721311476)
(('post_office', 'dentist'), 0.029411764705882353)
(('parking_entrance', 'dentist'), 0.029411764705882353)
(('dentist', 'telephone'), 0.029411764705882353)
(('police', 'vending_machine'), 0.028877005347593583)
(('university', 'vending_machine'), 0.028877005347593583)
(('waste_basket', 'pub'), 0.028854080791426217)
(('fast_food', 'drinking_water'), 0.028662420382165606)
(('cinema', 'fast_food'), 0.028662420382165606)
(('bank', 'post_office'), 0.028599605522682446)
(('police', 'bicycle_parking'), 0.02844311377245509)
(('bicycle_parking', 'training'), 0.02844311377245509)
(('clock', 'doctors'), 0.028368794326241134)
(('pub', 'nightclub'), 0.02834008097165992)
(('charging_station', 'pub'), 0.02834008097165992)
(('atm', 'post_box'), 0.02823179791976226)
(('theatre', 'atm'), 0.02823179791976226)
(('atm', 'payment_terminal'), 0.02823179791976226)
(('drinking_water', 'toilets'), 0.028205128205128206)
(('toilets', 'doctors'), 0.028205128205128206)
(('toilets', 'car_wash'), 0.028205128205128206)
(('waste_basket', 'food_court'), 0.028029678483099753)
(('clinic', 'theatre'), 0.027944111776447105)
(('parking', 'bar'), 0.02791977978765238)
(('waste_basket', 'kindergarten'), 0.027833001988071572)
(('vending_machine', 'kindergarten'), 0.027807486631016044)
(('embassy', 'bank'), 0.027613412228796843)
(('payment_terminal', 'fast_food'), 0.027600849256900213)
(('ice_cream', 'fast_food'), 0.027600849256900213)
(('fast_food', 'clock'), 0.027600849256900213)
(('embassy', 'police'), 0.027586206896551724)
(('pharmacy', 'parking_entrance'), 0.02733485193621868)
(('drinking_water', 'taxi'), 0.02702702702702703)
(('drinking_water', 'boat_rental'), 0.02702702702702703)
(('fire_station', 'marketplace'), 0.02702702702702703)
(('drinking_water', 'exhibition_center'), 0.02702702702702703)
(('embassy', 'bicycle_parking'), 0.02694610778443114)
(('bicycle_parking', 'coworking_space'), 0.02694610778443114)
(('school', 'atm'), 0.02674591381872214)
(('bank', 'post_box'), 0.026627218934911243)
(('doctors', 'bank'), 0.026627218934911243)
(('nightclub', 'fast_food'), 0.02653927813163482)
(('library', 'dentist'), 0.026470588235294117)
(('dentist', 'place_of_worship'), 0.026470588235294117)
(('ice_cream', 'telephone'), 0.02631578947368421)
(('ice_cream', 'clock'), 0.02631578947368421)
(('clock', 'stripclub'), 0.02631578947368421)
(('marketplace', 'clock'), 0.02631578947368421)
(('telephone', 'coworking_space'), 0.02631578947368421)
(('food_court', 'clock'), 0.02631578947368421)
(('studio', 'clock'), 0.02631578947368421)
(('taxi', 'clock'), 0.02631578947368421)
(('training', 'bar'), 0.02622950819672131)
(('bar', 'food_court'), 0.02622950819672131)
(('school', 'pharmacy'), 0.02619589977220957)
(('university', 'pharmacy'), 0.02619589977220957)
(('theatre', 'pharmacy'), 0.02619589977220957)
(('restaurant', 'post_box'), 0.025925925925925925)
(('embassy', 'post_office'), 0.025806451612903226)
(('library', 'post_office'), 0.025806451612903226)
(('fast_food', 'embassy'), 0.025477707006369428)
(('atm', 'fountain'), 0.02526002971768202)
(('recycling', 'shelter'), 0.025210084033613446)
(('pharmacy', 'embassy'), 0.025056947608200455)
(('telephone', 'parking_entrance'), 0.024861878453038673)
(('fountain', 'bureau_de_change'), 0.024752475247524754)
(('waste_basket', 'marketplace'), 0.0247320692497939)
(('waste_basket', 'theatre'), 0.0247320692497939)
(('training', 'restaurant'), 0.024691358024691357)
(('restaurant', 'nightclub'), 0.024691358024691357)
(('university', 'place_of_worship'), 0.024657534246575342)
(('bank', 'fountain'), 0.02465483234714004)
(('school', 'cafe'), 0.024630541871921183)
(('vending_machine', 'training'), 0.02459893048128342)
(('post_box', 'vending_machine'), 0.02459893048128342)
(('library', 'pub'), 0.024291497975708502)
(('theatre', 'post_office'), 0.024096385542168676)
(('theatre', 'charging_station'), 0.024096385542168676)
(('theatre', 'payment_terminal'), 0.024096385542168676)
(('university', 'clinic'), 0.023952095808383235)
(('post_office', 'clinic'), 0.023952095808383235)
(('taxi', 'bicycle_parking'), 0.023952095808383235)
(('bicycle_parking', 'kick-scooter_rental'), 0.023952095808383235)
(('kindergarten', 'kindergarten'), 0.02385685884691849)
(('atm', 'doctors'), 0.0237741456166419)
(('waste_disposal', 'parking_entrance'), 0.023741690408357077)
(('cafe', 'nightclub'), 0.02353585112205802)
(('vending_machine', 'doctors'), 0.023529411764705882)
(('bureau_de_change', 'dentist'), 0.023529411764705882)
(('restaurant', 'doctors'), 0.02345679012345679)
(('ice_cream', 'bicycle_rental'), 0.023333333333333334)
(('police', 'bicycle_rental'), 0.023333333333333334)
(('community_centre', 'police'), 0.023255813953488372)
(('telephone', 'police'), 0.023255813953488372)
(('school', 'school'), 0.023206751054852322)
(('school', 'bicycle_parking'), 0.023206751054852322)
(('parking', 'telephone'), 0.02320094376720409)
(('toilets', 'taxi'), 0.023076923076923078)
(('training', 'toilets'), 0.023076923076923078)
(('car_wash', 'bar'), 0.022950819672131147)
(('charging_station', 'bar'), 0.022950819672131147)
(('pub', 'waste_disposal'), 0.022792022792022793)
(('post_office', 'bench'), 0.022763706316126963)
(('library', 'college'), 0.022556390977443608)
(('bicycle_parking', 'university'), 0.02245508982035928)
(('training', 'cafe'), 0.022441160372194856)
(('university', 'fast_food'), 0.022292993630573247)
(('charging_station', 'restaurant'), 0.022222222222222223)
(('drinking_water', 'veterinary'), 0.022222222222222223)
(('bench', 'kindergarten'), 0.0221224751522924)
(('clinic', 'library'), 0.021956087824351298)
(('clinic', 'school'), 0.021956087824351298)
(('bureau_de_change', 'clinic'), 0.021956087824351298)
(('clinic', 'parking_entrance'), 0.021956087824351298)
(('cafe', 'payment_terminal'), 0.021893814997263273)
(('dentist', 'kindergarten'), 0.02186878727634195)
(('toilets', 'waste_disposal'), 0.02184235517568851)
(('studio', 'arts_centre'), 0.021739130434782608)
(('charging_station', 'arts_centre'), 0.021739130434782608)
(('arts_centre', 'music_school'), 0.021739130434782608)
(('piano', 'arts_centre'), 0.021739130434782608)
