Duration: 9156 s 
Number of collocations: 1179
(('scrapyard', 'payment_terminal'), 1)
(('recycling', 'place_of_worship'), 0.0034129692832764505)
(('recycling', 'drinking_water'), 0.0034129692832764505)
(('recycling', 'arts_centre'), 0.0034129692832764505)
(('marketplace', 'recycling'), 0.0034129692832764505)
(('recycling', 'public_building'), 0.0034129692832764505)
(('recycling', 'hospital'), 0.0034129692832764505)
(('bicycle_repair_station', 'parking'), 0.0033030553261767133)
(('shelter', 'solarium'), 0.0029069767441860465)
(('shelter', 'cinema'), 0.0029069767441860465)
(('shelter', 'car_wash'), 0.0029069767441860465)
(('shelter', 'advertising'), 0.0029069767441860465)
(('shelter', 'biergarten'), 0.0029069767441860465)
(('restaurant', 'charging_station'), 0.0028169014084507044)
(('restaurant', 'fuel'), 0.0028169014084507044)
(('post_box', 'restaurant'), 0.0028169014084507044)
(('restaurant', 'bbq'), 0.0028169014084507044)
(('advertising', 'restaurant'), 0.0028169014084507044)
(('drinking_water', 'restaurant'), 0.0028169014084507044)
(('restaurant', 'outdoor_seating'), 0.0028169014084507044)
(('scrapyard', 'bicycle_parking'), 0.0028089887640449437)
(('marketplace', 'bicycle_parking'), 0.0028089887640449437)
(('bicycle_parking', 'post_box'), 0.0028089887640449437)
(('bicycle_parking', 'car_wash'), 0.0028089887640449437)
(('ferry_terminal', 'bicycle_parking'), 0.0028089887640449437)
(('bicycle_parking', 'biergarten'), 0.0028089887640449437)
(('bicycle_parking', 'lounger'), 0.0028089887640449437)
(('parking', 'music_school'), 0.002642444260941371)
(('parking', 'food_court'), 0.002642444260941371)
(('hospital', 'bench'), 0.0026041666666666665)
(('bench', 'bar'), 0.0026041666666666665)
(('bench', 'ferry_terminal'), 0.0026041666666666665)
(('bench', 'outdoor_seating'), 0.0026041666666666665)
(('college', 'waste_disposal'), 0.0024813895781637717)
(('waste_disposal', 'arts_centre'), 0.0024813895781637717)
(('hospital', 'waste_disposal'), 0.0024813895781637717)
(('monastery', 'waste_disposal'), 0.0024813895781637717)
(('bbq', 'waste_disposal'), 0.0024813895781637717)
(('clock', 'waste_disposal'), 0.0024813895781637717)
(('embassy', 'waste_disposal'), 0.0024813895781637717)
(('social_facility', 'waste_disposal'), 0.0024813895781637717)
(('nightclub', 'waste_disposal'), 0.0024813895781637717)
(('ice_cream', 'waste_disposal'), 0.0024813895781637717)
(('biergarten', 'waste_disposal'), 0.0024813895781637717)
(('waste_disposal', 'nursing_home'), 0.0024813895781637717)
(('parking', 'ferry_terminal'), 0.002477291494632535)
(('parking', 'language_school'), 0.002477291494632535)
(('parking', 'lombard_banking'), 0.001981833195706028)
(('bus_station', 'parking'), 0.0018166804293971925)
(('drinking_water', 'parking'), 0.0016515276630883566)
(('townhall', 'parking'), 0.001486374896779521)
(('parking', 'metal_scrap'), 0.001486374896779521)
(('parking', 'beater'), 0.001486374896779521)
(('shelter', 'lombard_banking'), 0.0014534883720930232)
(('shelter', 'food_court'), 0.0014534883720930232)
(('arts_centre', 'shelter'), 0.0014534883720930232)
(('ferry_terminal', 'shelter'), 0.0014534883720930232)
(('parking', 'advertising'), 0.0013212221304706854)
(('parking', 'biergarten'), 0.0013212221304706854)
(('college', 'bench'), 0.0013020833333333333)
(('grave_yard', 'bench'), 0.0013020833333333333)
(('parking', 'scrapyard'), 0.0011560693641618498)
(('studio', 'parking'), 0.0011560693641618498)
(('parking', 'charging_station'), 0.0008257638315441783)
(('parking', 'payment_terminal'), 0.0008257638315441783)
(('events_venue', 'parking'), 0.0006606110652353427)
(('parking', 'fire_station'), 0.0006606110652353427)
(('driving_school', 'parking'), 0.0006606110652353427)
(('parking', 'compressed_air'), 0.00033030553261767135)
(('parking', 'nursing_home'), 0.00033030553261767135)
(('parking', 'vehicle_ramp'), 0.00033030553261767135)
(('solarium', 'parking'), 0.00016515276630883568)
(('vacuum_cleaner', 'parking'), 0.00016515276630883568)
(('parking', 'lounger'), 0.00016515276630883568)
(('outdoor_seating', 'parking'), 0.00016515276630883568)
